player_name,stat_family,market,is_alternate,line,side,book,odds,projection_mu,sigma,model_probability,fair_probability,implied_probability,edge,hit_rate_l5,hit_rate_l10,hit_rate_l20,cv,home_team,away_team,commence_time,event_id
Miguel Andujar,hits,batter_hits,False,0.5,OVER,ballybet,-240,1.4422147274017334,0.6666666666666666,0.9212194792860686,0.9212194792860686,0.7058823529411765,0.2153371263448921,80.0,80.0,75.0,0.6666666666666666,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Heliot Ramos,hits,batter_hits,False,0.5,OVER,betrivers,-205,1.4255507373809815,0.8755950357709131,0.854756398695476,0.854756398695476,0.6721311475409836,0.18262525115449246,80.0,80.0,75.0,0.7959954870644664,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Miguel Andujar,hits,batter_hits,False,0.5,OVER,betrivers,-240,1.4422147274017334,0.6666666666666666,0.9212194792860686,0.9212194792860686,0.7058823529411765,0.2153371263448921,80.0,80.0,75.0,0.6666666666666666,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Heliot Ramos,hits,batter_hits,False,0.5,OVER,betparx,-205,1.4255507373809815,0.8755950357709131,0.854756398695476,0.854756398695476,0.6721311475409836,0.18262525115449246,80.0,80.0,75.0,0.7959954870644664,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Miguel Andujar,hits,batter_hits,False,0.5,OVER,betparx,-240,1.4422147274017334,0.6666666666666666,0.9212194792860686,0.9212194792860686,0.7058823529411765,0.2153371263448921,80.0,80.0,75.0,0.6666666666666666,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Chase Meidroth,hits,batter_hits,False,0.5,OVER,fliff,-225,1.2355942726135254,0.6666666666666666,0.8650713870566364,0.8650713870566364,0.6923076923076923,0.17276369474894415,100.0,80.0,80.0,0.6666666666666666,Los Angeles Angels,Chicago White Sox,2026-05-06T20:08:00Z,7c30fa11564865dd19f2a9c4a7e9d937
Miguel Vargas,hits,batter_hits,False,0.5,OVER,fliff,-215,1.3663334846496582,0.5676462121975467,0.936518177805538,0.936518177805538,0.6825396825396826,0.2539784952658555,100.0,90.0,75.0,0.5160420110886789,Los Angeles Angels,Chicago White Sox,2026-05-06T20:08:00Z,7c30fa11564865dd19f2a9c4a7e9d937
Mike Trout,hits,batter_hits,False,0.5,OVER,fliff,-210,1.9478977370262145,0.6666666666666666,0.985066382497433,0.985066382497433,0.6774193548387096,0.3076470276587233,80.0,80.0,80.0,0.6666666666666666,Los Angeles Angels,Chicago White Sox,2026-05-06T20:08:00Z,7c30fa11564865dd19f2a9c4a7e9d937
Nolan Schanuel,hits,batter_hits,False,0.5,OVER,fliff,-180,1.2620958256721497,0.8755950357709131,0.8079521843303474,0.8079521843303474,0.6428571428571429,0.16509504147320453,80.0,70.0,70.0,0.7959954870644663,Los Angeles Angels,Chicago White Sox,2026-05-06T20:08:00Z,7c30fa11564865dd19f2a9c4a7e9d937
Jorge Soler,hits,batter_hits,False,0.5,OVER,fliff,-175,1.3553304362297058,0.4714045207910317,0.9651942135542287,0.9651942135542287,0.6363636363636364,0.3288305771905924,80.0,90.0,75.0,0.4714045207910317,Los Angeles Angels,Chicago White Sox,2026-05-06T20:08:00Z,7c30fa11564865dd19f2a9c4a7e9d937
