band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥-/TP≥-,65.85,0.0,,,,243,205,135,70,65.85,4.42,-5.91,14.76,9.068,0.692,13
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥-/TP≥50,65.85,0.0,,,50.0,243,205,135,70,65.85,4.42,-5.91,14.76,9.068,0.692,13
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥-/TP≥55,65.85,0.0,,,55.0,243,205,135,70,65.85,4.42,-5.91,14.76,9.068,0.692,13
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥-/TP≥60,69.52,0.0,,,60.0,125,105,73,32,69.52,7.65,-6.05,21.36,8.034,0.583,12
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥-/TP≥65,64.71,0.0,,,65.0,43,34,22,12,64.71,-0.58,-25.64,24.48,-0.196,0.5,10
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥0.0/TP≥-,65.85,0.0,,0.0,,243,205,135,70,65.85,4.42,-5.91,14.76,9.068,0.692,13
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥0.0/TP≥50,65.85,0.0,,0.0,50.0,243,205,135,70,65.85,4.42,-5.91,14.76,9.068,0.692,13
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥0.0/TP≥55,65.85,0.0,,0.0,55.0,243,205,135,70,65.85,4.42,-5.91,14.76,9.068,0.692,13
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥0.0/TP≥60,69.52,0.0,,0.0,60.0,125,105,73,32,69.52,7.65,-6.05,21.36,8.034,0.583,12
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥0.0/TP≥65,64.71,0.0,,0.0,65.0,43,34,22,12,64.71,-0.58,-25.64,24.48,-0.196,0.5,10
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥0.5/TP≥-,65.48,0.0,,0.5,,234,197,129,68,65.48,3.79,-6.77,14.35,7.466,0.692,13
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥0.5/TP≥50,65.48,0.0,,0.5,50.0,234,197,129,68,65.48,3.79,-6.77,14.35,7.466,0.692,13
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥0.5/TP≥55,65.48,0.0,,0.5,55.0,234,197,129,68,65.48,3.79,-6.77,14.35,7.466,0.692,13
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥0.5/TP≥60,69.9,0.0,,0.5,60.0,122,103,72,31,69.9,8.26,-5.53,22.05,8.508,0.583,12
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥0.5/TP≥65,64.71,0.0,,0.5,65.0,43,34,22,12,64.71,-0.58,-25.64,24.48,-0.196,0.5,10
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥1.0/TP≥-,63.7,0.0,,1.0,,174,146,93,53,63.7,1.03,-11.4,13.46,1.497,0.5,12
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥1.0/TP≥50,63.7,0.0,,1.0,50.0,174,146,93,53,63.7,1.03,-11.4,13.46,1.497,0.5,12
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥1.0/TP≥55,63.7,0.0,,1.0,55.0,174,146,93,53,63.7,1.03,-11.4,13.46,1.497,0.5,12
"[-199,-150]",HR≥70/EDG≥0.0/CV≤-/μ≥1.0/TP≥60,64.47,0.0,,1.0,60.0,92,76,49,27,64.47,-0.28,-17.04,16.48,-0.211,0.417,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥-/TP≥-,64.53,5.0,,,,203,172,111,61,64.53,2.45,-8.95,13.85,4.214,0.583,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥-/TP≥50,64.53,5.0,,,50.0,203,172,111,61,64.53,2.45,-8.95,13.85,4.214,0.583,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥-/TP≥55,64.53,5.0,,,55.0,203,172,111,61,64.53,2.45,-8.95,13.85,4.214,0.583,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥-/TP≥60,67.05,5.0,,,60.0,104,88,59,29,67.05,3.82,-11.49,19.12,3.359,0.583,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥-/TP≥65,61.29,5.0,,,65.0,37,31,19,12,61.29,-5.77,-32.57,21.03,-1.789,0.4,10
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥0.0/TP≥-,64.53,5.0,,0.0,,203,172,111,61,64.53,2.45,-8.95,13.85,4.214,0.583,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥0.0/TP≥50,64.53,5.0,,0.0,50.0,203,172,111,61,64.53,2.45,-8.95,13.85,4.214,0.583,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥0.0/TP≥55,64.53,5.0,,0.0,55.0,203,172,111,61,64.53,2.45,-8.95,13.85,4.214,0.583,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥0.0/TP≥60,67.05,5.0,,0.0,60.0,104,88,59,29,67.05,3.82,-11.49,19.12,3.359,0.583,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥0.0/TP≥65,61.29,5.0,,0.0,65.0,37,31,19,12,61.29,-5.77,-32.57,21.03,-1.789,0.4,10
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥0.5/TP≥-,64.67,5.0,,0.5,,198,167,108,59,64.67,2.58,-8.97,14.13,4.316,0.5,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥0.5/TP≥50,64.67,5.0,,0.5,50.0,198,167,108,59,64.67,2.58,-8.97,14.13,4.316,0.5,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥0.5/TP≥55,64.67,5.0,,0.5,55.0,198,167,108,59,64.67,2.58,-8.97,14.13,4.316,0.5,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥0.5/TP≥60,67.82,5.0,,0.5,60.0,103,87,59,28,67.82,5.01,-10.29,20.31,4.359,0.583,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥0.5/TP≥65,61.29,5.0,,0.5,65.0,37,31,19,12,61.29,-5.77,-32.57,21.03,-1.789,0.4,10
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥1.0/TP≥-,63.45,5.0,,1.0,,172,145,92,53,63.45,0.67,-11.83,13.17,0.971,0.5,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥1.0/TP≥50,63.45,5.0,,1.0,50.0,172,145,92,53,63.45,0.67,-11.83,13.17,0.971,0.5,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥1.0/TP≥55,63.45,5.0,,1.0,55.0,172,145,92,53,63.45,0.67,-11.83,13.17,0.971,0.5,12
"[-199,-150]",HR≥70/EDG≥5.0/CV≤-/μ≥1.0/TP≥60,64.0,5.0,,1.0,60.0,90,75,48,27,64.0,-0.98,-17.91,15.95,-0.737,0.333,12
"[-199,-150]",HR≥70/EDG≥10.0/CV≤-/μ≥-/TP≥-,65.07,10.0,,,,174,146,95,51,65.07,3.2,-9.12,15.53,4.673,0.583,12
"[-199,-150]",HR≥70/EDG≥10.0/CV≤-/μ≥-/TP≥50,65.07,10.0,,,50.0,174,146,95,51,65.07,3.2,-9.12,15.53,4.673,0.583,12
"[-199,-150]",HR≥70/EDG≥10.0/CV≤-/μ≥-/TP≥55,65.07,10.0,,,55.0,174,146,95,51,65.07,3.2,-9.12,15.53,4.673,0.583,12
"[-199,-150]",HR≥70/EDG≥10.0/CV≤-/μ≥-/TP≥60,68.0,10.0,,,60.0,90,75,51,24,68.0,5.29,-11.17,21.76,3.969,0.5,12
