combo,hr_min,edg_min,tp_min,cv_max,side,n_total,n_graded,wins,losses,HR_pct,HR_ci_lo,HR_ci_hi,ROI_pct,ROI_ci_lo,ROI_ci_hi,P_and_L,consistency,graded_days
HR≥-/EDG≥2.5/TP≥50.0/CV≤0.6/ANY,,2.5,50.0,0.6,ANY,154,140,85,55,60.71,52.44,68.41,0.09,-13.46,13.64,0.125,0.538,13
HR≥-/EDG≥-2.5/TP≥50.0/CV≤0.7/UNDER,,-2.5,50.0,0.7,UNDER,65,61,36,25,59.02,46.5,70.46,0.07,-21.28,21.42,0.045,0.583,12
HR≥-/EDG≥-/TP≥50.0/CV≤0.6/ANY,,,50.0,0.6,ANY,356,326,200,126,61.35,55.96,66.47,0.05,-8.71,8.81,0.173,0.462,13
HR≥-/EDG≥-5.0/TP≥50.0/CV≤0.55/ANY,,-5.0,50.0,0.55,ANY,184,166,102,64,61.45,53.86,68.51,0.04,-12.22,12.29,0.061,0.462,13
HR≥-/EDG≥5.0/TP≥55.0/CV≤0.45/ANY,,5.0,55.0,0.45,ANY,60,54,34,20,62.96,49.63,74.58,0.04,-20.76,20.84,0.02,0.636,11
HR≥-/EDG≥2.5/TP≥40.0/CV≤0.55/ANY,,2.5,40.0,0.55,ANY,225,205,112,93,54.63,47.8,61.3,0.03,-12.82,12.89,0.067,0.385,13
HR≥-/EDG≥2.5/TP≥55.0/CV≤0.7/OVER,,2.5,55.0,0.7,OVER,84,75,48,27,64.0,52.7,73.94,-0.04,-17.25,17.17,-0.028,0.5,12
HR≥-/EDG≥-/TP≥60.0/CV≤0.55/OVER,,,60.0,0.55,OVER,81,74,51,23,68.92,57.66,78.31,-0.08,-15.54,15.37,-0.062,0.5,12
HR≥-/EDG≥-/TP≥65.0/CV≤0.55/OVER,,,65.0,0.55,OVER,65,59,41,18,69.49,56.85,79.75,-0.08,-17.16,17.01,-0.045,0.417,12
HR≥-/EDG≥10.0/TP≥40.0/CV≤0.55/ANY,,10.0,40.0,0.55,ANY,159,145,78,67,53.79,45.69,61.71,-0.08,-15.62,15.45,-0.12,0.385,13
HR≥-/EDG≥-2.5/TP≥60.0/CV≤0.55/OVER,,-2.5,60.0,0.55,OVER,58,53,36,17,67.92,54.52,78.91,-0.09,-18.82,18.65,-0.046,0.417,12
HR≥-/EDG≥7.5/TP≥40.0/CV≤0.45/ANY,,7.5,40.0,0.45,ANY,125,113,61,52,53.98,44.81,62.89,-0.09,-17.68,17.51,-0.098,0.5,12
HR≥-/EDG≥-2.5/TP≥50.0/CV≤0.45/ANY,,-2.5,50.0,0.45,ANY,123,112,69,43,61.61,52.36,70.09,-0.15,-14.99,14.69,-0.173,0.538,13
HR≥-/EDG≥-/TP≥65.0/CV≤0.6/OVER,,,65.0,0.6,OVER,75,69,48,21,69.57,57.92,79.15,-0.21,-15.95,15.53,-0.145,0.5,12
HR≥50.0/EDG≥5.0/TP≥40.0/CV≤-/ANY,50.0,5.0,40.0,,ANY,79,72,42,30,58.33,46.81,69.01,-0.26,-20.4,19.87,-0.188,0.667,12
HR≥-/EDG≥10.0/TP≥40.0/CV≤0.7/ANY,,10.0,40.0,0.7,ANY,201,182,98,84,53.85,46.6,60.93,-0.27,-14.08,13.54,-0.49,0.385,13
HR≥-/EDG≥7.5/TP≥50.0/CV≤0.5/OVER,,7.5,50.0,0.5,OVER,66,57,35,22,61.4,48.43,72.94,-0.3,-21.2,20.61,-0.169,0.538,13
HR≥-/EDG≥7.5/TP≥50.0/CV≤0.6/OVER,,7.5,50.0,0.6,OVER,81,72,44,28,61.11,49.56,71.53,-0.3,-19.0,18.4,-0.217,0.538,13
HR≥-/EDG≥-5.0/TP≥65.0/CV≤0.7/ANY,,-5.0,65.0,0.7,ANY,74,69,48,21,69.57,57.92,79.15,-0.37,-16.09,15.35,-0.256,0.417,12
HR≥-/EDG≥7.5/TP≥40.0/CV≤0.5/ANY,,7.5,40.0,0.5,ANY,160,145,78,67,53.79,45.69,61.71,-0.37,-15.87,15.13,-0.536,0.385,13
HR≥-/EDG≥10.0/TP≥40.0/CV≤0.6/ANY,,10.0,40.0,0.6,ANY,178,162,87,75,53.7,46.03,61.21,-0.37,-15.04,14.3,-0.603,0.385,13
HR≥50.0/EDG≥-/TP≥40.0/CV≤0.35/ANY,50.0,,40.0,0.35,ANY,69,62,36,26,58.06,45.67,69.52,-0.37,-22.36,21.63,-0.226,0.636,11
HR≥-/EDG≥10.0/TP≥40.0/CV≤0.45/ANY,,10.0,40.0,0.45,ANY,110,98,52,46,53.06,43.25,62.64,-0.38,-19.58,18.82,-0.37,0.5,12
HR≥-/EDG≥7.5/TP≥-/CV≤-/ANY,,7.5,,,ANY,245,223,120,103,53.81,47.26,60.24,-0.41,-12.87,12.05,-0.917,0.462,13
HR≥-/EDG≥-/TP≥60.0/CV≤0.5/ANY,,,60.0,0.5,ANY,80,73,50,23,68.49,57.14,78.0,-0.42,-16.09,15.25,-0.307,0.333,12
HR≥-/EDG≥-2.5/TP≥50.0/CV≤0.55/ANY,,-2.5,50.0,0.55,ANY,170,156,95,61,60.9,53.07,68.21,-0.43,-13.16,12.29,-0.678,0.462,13
HR≥55.0/EDG≥-/TP≥40.0/CV≤0.4/ANY,55.0,,40.0,0.4,ANY,71,66,40,26,60.61,48.55,71.5,-0.43,-20.69,19.83,-0.286,0.667,12
HR≥-/EDG≥0.0/TP≥40.0/CV≤0.55/ANY,,0.0,40.0,0.55,ANY,249,227,124,103,54.63,48.13,60.97,-0.44,-12.6,11.71,-1.009,0.615,13
HR≥-/EDG≥-5.0/TP≥65.0/CV≤0.7/OVER,,-5.0,65.0,0.7,OVER,70,65,45,20,69.23,57.2,79.11,-0.45,-16.77,15.86,-0.294,0.417,12
HR≥-/EDG≥-2.5/TP≥55.0/CV≤-/UNDER,,-2.5,55.0,,UNDER,56,52,32,20,61.54,47.96,73.53,-0.46,-22.26,21.33,-0.241,0.5,12
HR≥-/EDG≥0.0/TP≥50.0/CV≤0.55/OVER,,0.0,50.0,0.55,OVER,110,98,60,38,61.22,51.33,70.27,-0.47,-16.42,15.49,-0.46,0.538,13
HR≥-/EDG≥0.0/TP≥50.0/CV≤0.6/ANY,,0.0,50.0,0.6,ANY,172,157,95,62,60.51,52.7,67.82,-0.49,-13.26,12.28,-0.766,0.538,13
HR≥55.0/EDG≥0.0/TP≥40.0/CV≤0.6/ANY,55.0,0.0,40.0,0.6,ANY,59,54,33,21,61.11,47.79,72.96,-0.49,-22.46,21.49,-0.263,0.5,12
HR≥-/EDG≥7.5/TP≥40.0/CV≤0.55/ANY,,7.5,40.0,0.55,ANY,176,161,87,74,54.04,46.33,61.55,-0.53,-15.13,14.07,-0.849,0.385,13
HR≥50.0/EDG≥7.5/TP≥50.0/CV≤0.6/ANY,50.0,7.5,50.0,0.6,ANY,56,50,31,19,62.0,48.15,74.14,-0.53,-22.57,21.51,-0.266,0.545,11
HR≥50.0/EDG≥7.5/TP≥50.0/CV≤0.7/ANY,50.0,7.5,50.0,0.7,ANY,56,50,31,19,62.0,48.15,74.14,-0.53,-22.57,21.51,-0.266,0.545,11
HR≥-/EDG≥10.0/TP≥40.0/CV≤0.5/ANY,,10.0,40.0,0.5,ANY,144,130,69,61,53.08,44.53,61.44,-0.62,-17.18,15.94,-0.808,0.385,13
HR≥-/EDG≥0.0/TP≥50.0/CV≤-/UNDER,,0.0,50.0,,UNDER,75,70,41,29,58.57,46.88,69.37,-0.68,-20.62,19.26,-0.477,0.583,12
HR≥-/EDG≥-/TP≥60.0/CV≤0.5/OVER,,,60.0,0.5,OVER,70,63,43,20,68.25,56.0,78.41,-0.69,-17.62,16.25,-0.433,0.417,12
HR≥50.0/EDG≥-/TP≥-/CV≤0.5/ANY,50.0,,,0.5,ANY,175,160,94,66,58.75,51.0,66.09,-0.76,-14.16,12.65,-1.215,0.462,13
HR≥50.0/EDG≥2.5/TP≥50.0/CV≤0.55/OVER,50.0,2.5,50.0,0.55,OVER,61,54,34,20,62.96,49.63,74.58,-0.76,-21.5,19.97,-0.411,0.615,13
HR≥-/EDG≥-2.5/TP≥60.0/CV≤0.6/OVER,,-2.5,60.0,0.6,OVER,67,62,42,20,67.74,55.37,78.05,-0.8,-18.06,16.45,-0.498,0.5,12
HR≥50.0/EDG≥-/TP≥40.0/CV≤0.4/ANY,50.0,,40.0,0.4,ANY,115,106,61,45,57.55,48.04,66.53,-0.85,-17.73,16.02,-0.906,0.615,13
HR≥50.0/EDG≥-/TP≥-/CV≤0.55/ANY,50.0,,,0.55,ANY,190,173,102,71,58.96,51.51,66.02,-0.88,-13.71,11.94,-1.531,0.385,13
HR≥-/EDG≥7.5/TP≥50.0/CV≤0.7/ANY,,7.5,50.0,0.7,ANY,134,121,72,49,59.5,50.6,67.83,-0.92,-15.72,13.88,-1.109,0.462,13
HR≥-/EDG≥5.0/TP≥50.0/CV≤0.7/ANY,,5.0,50.0,0.7,ANY,149,135,80,55,59.26,50.83,67.18,-1.0,-15.06,13.06,-1.354,0.462,13
HR≥-/EDG≥5.0/TP≥50.0/CV≤0.6/OVER,,5.0,50.0,0.6,OVER,93,83,50,33,60.24,49.48,70.09,-1.03,-18.62,16.56,-0.856,0.385,13
HR≥-/EDG≥7.5/TP≥40.0/CV≤-/ANY,,7.5,40.0,,ANY,244,222,119,103,53.6,47.04,60.05,-1.07,-13.52,11.38,-2.367,0.462,13
HR≥-/EDG≥5.0/TP≥50.0/CV≤0.5/ANY,,5.0,50.0,0.5,ANY,107,96,57,39,59.38,49.37,68.65,-1.08,-17.69,15.54,-1.034,0.385,13
HR≥50.0/EDG≥-/TP≥60.0/CV≤-/ANY,50.0,,60.0,,ANY,85,77,53,24,68.83,57.8,78.07,-1.09,-16.11,13.93,-0.838,0.5,12
HR≥-/EDG≥-2.5/TP≥55.0/CV≤0.55/ANY,,-2.5,55.0,0.55,ANY,125,114,72,42,63.16,54.01,71.45,-1.1,-15.15,12.94,-1.259,0.5,12
HR≥-/EDG≥-/TP≥60.0/CV≤0.7/ANY,,,60.0,0.7,ANY,121,114,78,36,68.42,59.41,76.23,-1.13,-13.57,11.3,-1.293,0.333,12
HR≥-/EDG≥-5.0/TP≥65.0/CV≤-/OVER,,-5.0,65.0,,OVER,76,70,48,22,68.57,56.97,78.24,-1.15,-17.0,14.7,-0.804,0.417,12
HR≥55.0/EDG≥-/TP≥40.0/CV≤0.45/ANY,55.0,,40.0,0.45,ANY,87,78,47,31,60.26,49.16,70.39,-1.16,-19.76,17.43,-0.905,0.583,12
HR≥-/EDG≥-2.5/TP≥60.0/CV≤0.6/ANY,,-2.5,60.0,0.6,ANY,73,68,46,22,67.65,55.84,77.56,-1.17,-17.61,15.26,-0.799,0.5,12
HR≥-/EDG≥-2.5/TP≥60.0/CV≤0.55/ANY,,-2.5,60.0,0.55,ANY,63,58,39,19,67.24,54.42,77.92,-1.18,-19.16,16.79,-0.687,0.417,12
HR≥60.0/EDG≥-/TP≥40.0/CV≤0.4/ANY,60.0,,40.0,0.4,ANY,58,53,32,21,60.38,46.94,72.41,-1.18,-23.76,21.39,-0.627,0.727,11
HR≥60.0/EDG≥-/TP≥-/CV≤-/OVER,60.0,,,,OVER,71,64,42,22,65.62,53.4,76.08,-1.19,-19.11,16.73,-0.762,0.545,11
HR≥60.0/EDG≥-/TP≥40.0/CV≤-/OVER,60.0,,40.0,,OVER,71,64,42,22,65.62,53.4,76.08,-1.19,-19.11,16.73,-0.762,0.545,11
HR≥-/EDG≥7.5/TP≥50.0/CV≤-/ANY,,7.5,50.0,,ANY,145,130,77,53,59.23,50.64,67.3,-1.22,-15.52,13.08,-1.589,0.538,13
HR≥60.0/EDG≥-/TP≥-/CV≤0.45/ANY,60.0,,,0.45,ANY,68,61,36,25,59.02,46.5,70.46,-1.25,-22.95,20.45,-0.764,0.545,11
HR≥-/EDG≥2.5/TP≥50.0/CV≤0.6/OVER,,2.5,50.0,0.6,OVER,111,99,60,39,60.61,50.76,69.66,-1.26,-17.21,14.7,-1.244,0.538,13
HR≥-/EDG≥-5.0/TP≥65.0/CV≤-/ANY,,-5.0,65.0,,ANY,83,77,53,24,68.83,57.8,78.07,-1.27,-16.27,13.72,-0.981,0.417,12
HR≥-/EDG≥0.0/TP≥55.0/CV≤0.7/ANY,,0.0,55.0,0.7,ANY,139,126,79,47,62.7,54.0,70.65,-1.33,-14.79,12.13,-1.677,0.5,12
HR≥-/EDG≥-/TP≥50.0/CV≤0.5/ANY,,,50.0,0.5,ANY,275,252,152,100,60.32,54.17,66.16,-1.37,-11.4,8.66,-3.448,0.231,13
HR≥-/EDG≥5.0/TP≥50.0/CV≤0.55/OVER,,5.0,50.0,0.55,OVER,83,73,44,29,60.27,48.81,70.71,-1.37,-20.06,17.33,-0.998,0.385,13
HR≥50.0/EDG≥-/TP≥-/CV≤0.6/ANY,50.0,,,0.6,ANY,212,195,115,80,58.97,51.96,65.64,-1.37,-13.38,10.64,-2.679,0.385,13
HR≥-/EDG≥0.0/TP≥55.0/CV≤0.6/OVER,,0.0,55.0,0.6,OVER,92,82,52,30,63.41,52.61,73.02,-1.4,-17.84,15.03,-1.152,0.5,12
HR≥-/EDG≥7.5/TP≥50.0/CV≤0.6/ANY,,7.5,50.0,0.6,ANY,117,106,63,43,59.43,49.92,68.29,-1.43,-17.16,14.31,-1.513,0.462,13
HR≥-/EDG≥-5.0/TP≥50.0/CV≤0.45/ANY,,-5.0,50.0,0.45,ANY,130,118,72,46,61.02,52.0,69.34,-1.44,-15.89,13.01,-1.704,0.538,13
HR≥-/EDG≥5.0/TP≥50.0/CV≤0.6/ANY,,5.0,50.0,0.6,ANY,132,120,71,49,59.17,50.22,67.54,-1.46,-16.32,13.39,-1.757,0.385,13
HR≥55.0/EDG≥0.0/TP≥40.0/CV≤-/ANY,55.0,0.0,40.0,,ANY,62,56,34,22,60.71,47.63,72.42,-1.54,-23.06,19.98,-0.863,0.5,12
HR≥-/EDG≥-/TP≥65.0/CV≤0.5/ANY,,,65.0,0.5,ANY,60,54,37,17,68.52,55.26,79.32,-1.59,-19.61,16.42,-0.859,0.333,12
HR≥50.0/EDG≥10.0/TP≥40.0/CV≤-/ANY,50.0,10.0,40.0,,ANY,61,54,31,23,57.41,44.16,69.67,-1.59,-25.07,21.88,-0.861,0.636,11
HR≥50.0/EDG≥10.0/TP≥40.0/CV≤0.7/ANY,50.0,10.0,40.0,0.7,ANY,60,54,31,23,57.41,44.16,69.67,-1.59,-25.07,21.88,-0.861,0.636,11
HR≥-/EDG≥-/TP≥-/CV≤0.4/ANY,,,,0.4,ANY,257,236,129,107,54.66,48.29,60.89,-1.61,-13.43,10.22,-3.791,0.385,13
HR≥50.0/EDG≥-/TP≥60.0/CV≤-/OVER,50.0,,60.0,,OVER,84,76,52,24,68.42,57.3,77.77,-1.64,-16.82,13.54,-1.246,0.5,12
HR≥50.0/EDG≥10.0/TP≥-/CV≤-/OVER,50.0,10.0,,,OVER,57,50,29,21,58.0,44.23,70.63,-1.65,-25.73,22.43,-0.825,0.545,11
HR≥50.0/EDG≥10.0/TP≥-/CV≤0.6/OVER,50.0,10.0,,0.6,OVER,56,50,29,21,58.0,44.23,70.63,-1.65,-25.73,22.43,-0.825,0.545,11
HR≥50.0/EDG≥10.0/TP≥-/CV≤0.7/OVER,50.0,10.0,,0.7,OVER,56,50,29,21,58.0,44.23,70.63,-1.65,-25.73,22.43,-0.825,0.545,11
HR≥50.0/EDG≥10.0/TP≥40.0/CV≤-/OVER,50.0,10.0,40.0,,OVER,57,50,29,21,58.0,44.23,70.63,-1.65,-25.73,22.43,-0.825,0.545,11
HR≥50.0/EDG≥10.0/TP≥40.0/CV≤0.6/OVER,50.0,10.0,40.0,0.6,OVER,56,50,29,21,58.0,44.23,70.63,-1.65,-25.73,22.43,-0.825,0.545,11
HR≥50.0/EDG≥10.0/TP≥40.0/CV≤0.7/OVER,50.0,10.0,40.0,0.7,OVER,56,50,29,21,58.0,44.23,70.63,-1.65,-25.73,22.43,-0.825,0.545,11
HR≥-/EDG≥-5.0/TP≥50.0/CV≤0.6/UNDER,,-5.0,50.0,0.6,UNDER,54,50,29,21,58.0,44.23,70.63,-1.67,-25.29,21.96,-0.833,0.636,11
HR≥-/EDG≥-/TP≥-/CV≤0.3/ANY,,,,0.3,ANY,64,57,31,26,54.39,41.59,66.63,-1.68,-26.07,22.72,-0.955,0.667,9
HR≥-/EDG≥0.0/TP≥55.0/CV≤0.55/OVER,,0.0,55.0,0.55,OVER,82,73,46,27,63.01,51.55,73.18,-1.7,-19.23,15.82,-1.243,0.5,12
HR≥-/EDG≥-/TP≥-/CV≤0.45/ANY,,,,0.45,ANY,373,342,186,156,54.39,49.09,59.59,-1.72,-11.56,8.13,-5.869,0.308,13
HR≥50.0/EDG≥5.0/TP≥50.0/CV≤0.6/ANY,50.0,5.0,50.0,0.6,ANY,62,56,34,22,60.71,47.63,72.42,-1.78,-22.9,19.34,-0.996,0.583,12
HR≥50.0/EDG≥5.0/TP≥50.0/CV≤0.7/ANY,50.0,5.0,50.0,0.7,ANY,62,56,34,22,60.71,47.63,72.42,-1.78,-22.9,19.34,-0.996,0.583,12
HR≥60.0/EDG≥-/TP≥-/CV≤0.6/OVER,60.0,,,0.6,OVER,66,60,39,21,65.0,52.36,75.83,-1.84,-20.5,16.82,-1.102,0.545,11
HR≥60.0/EDG≥-/TP≥40.0/CV≤0.6/OVER,60.0,,40.0,0.6,OVER,66,60,39,21,65.0,52.36,75.83,-1.84,-20.5,16.82,-1.102,0.545,11
HR≥-/EDG≥-2.5/TP≥60.0/CV≤0.5/ANY,,-2.5,60.0,0.5,ANY,56,51,34,17,66.67,52.97,78.03,-1.88,-21.19,17.43,-0.959,0.333,12
HR≥-/EDG≥0.0/TP≥55.0/CV≤0.5/ANY,,0.0,55.0,0.5,ANY,99,89,55,34,61.8,51.41,71.21,-1.88,-18.12,14.36,-1.674,0.667,12
HR≥50.0/EDG≥-/TP≥50.0/CV≤0.4/ANY,50.0,,50.0,0.4,ANY,74,68,43,25,63.24,51.36,73.7,-1.9,-20.07,16.26,-1.294,0.538,13
HR≥50.0/EDG≥-/TP≥40.0/CV≤0.5/ANY,50.0,,40.0,0.5,ANY,173,158,92,66,58.23,50.43,65.63,-1.92,-15.36,11.53,-3.028,0.385,13
HR≥60.0/EDG≥-/TP≥-/CV≤0.7/OVER,60.0,,,0.7,OVER,69,63,41,22,65.08,52.75,75.67,-1.92,-20.08,16.23,-1.213,0.545,11
HR≥60.0/EDG≥-/TP≥40.0/CV≤0.7/OVER,60.0,,40.0,0.7,OVER,69,63,41,22,65.08,52.75,75.67,-1.92,-20.08,16.23,-1.213,0.545,11
HR≥-/EDG≥5.0/TP≥50.0/CV≤-/ANY,,5.0,50.0,,ANY,164,148,87,61,58.78,50.73,66.39,-1.93,-15.35,11.49,-2.853,0.462,13
HR≥-/EDG≥-/TP≥50.0/CV≤0.4/ANY,,,50.0,0.4,ANY,150,137,83,54,60.58,52.22,68.37,-1.94,-15.41,11.53,-2.661,0.538,13
HR≥50.0/EDG≥-/TP≥40.0/CV≤0.55/ANY,50.0,,40.0,0.55,ANY,188,171,100,71,58.48,50.99,65.6,-1.96,-14.81,10.9,-3.344,0.385,13
HR≥-/EDG≥-/TP≥40.0/CV≤0.45/ANY,,,40.0,0.45,ANY,370,339,184,155,54.28,48.96,59.5,-1.97,-11.85,7.91,-6.682,0.308,13
HR≥-/EDG≥-/TP≥65.0/CV≤0.5/OVER,,,65.0,0.5,OVER,56,50,34,16,68.0,54.19,79.24,-1.98,-20.87,16.9,-0.991,0.417,12
HR≥-/EDG≥0.0/TP≥50.0/CV≤0.5/ANY,,0.0,50.0,0.5,ANY,136,123,73,50,59.35,50.51,67.62,-1.98,-16.53,12.57,-2.435,0.615,13
HR≥60.0/EDG≥-/TP≥50.0/CV≤0.55/ANY,60.0,,50.0,0.55,ANY,56,51,33,18,64.71,50.99,76.37,-1.98,-22.28,18.31,-1.011,0.545,11
HR≥-/EDG≥2.5/TP≥55.0/CV≤-/ANY,,2.5,55.0,,ANY,137,124,77,47,62.1,53.32,70.15,-2.08,-15.71,11.55,-2.577,0.5,12
HR≥-/EDG≥7.5/TP≥50.0/CV≤0.55/OVER,,7.5,50.0,0.55,OVER,72,63,38,25,60.32,47.98,71.47,-2.16,-22.11,17.8,-1.359,0.462,13
HR≥-/EDG≥5.0/TP≥55.0/CV≤0.5/ANY,,5.0,55.0,0.5,ANY,75,67,41,26,61.19,49.22,71.95,-2.17,-21.09,16.75,-1.455,0.5,12
HR≥50.0/EDG≥-/TP≥-/CV≤0.7/ANY,50.0,,,0.7,ANY,224,206,121,85,58.74,51.91,65.24,-2.17,-13.81,9.47,-4.469,0.385,13
HR≥-/EDG≥2.5/TP≥50.0/CV≤0.5/ANY,,2.5,50.0,0.5,ANY,122,110,65,45,59.09,49.75,67.82,-2.19,-17.63,13.25,-2.411,0.538,13
HR≥-/EDG≥-/TP≥50.0/CV≤0.55/ANY,,,50.0,0.55,ANY,314,287,172,115,59.93,54.17,65.43,-2.21,-11.6,7.19,-6.331,0.308,13
HR≥-/EDG≥-/TP≥60.0/CV≤0.6/ANY,,,60.0,0.6,ANY,106,99,67,32,67.68,57.95,76.08,-2.22,-15.66,11.22,-2.197,0.333,12
HR≥-/EDG≥-/TP≥40.0/CV≤0.4/ANY,,,40.0,0.4,ANY,256,235,128,107,54.47,48.08,60.71,-2.23,-14.04,9.58,-5.241,0.308,13
HR≥-/EDG≥-5.0/TP≥50.0/CV≤0.4/ANY,,-5.0,50.0,0.4,ANY,90,81,49,32,60.49,49.61,70.43,-2.24,-19.76,15.29,-1.811,0.538,13
HR≥-/EDG≥-/TP≥50.0/CV≤0.45/ANY,,,50.0,0.45,ANY,216,198,119,79,60.1,53.15,66.67,-2.34,-13.59,8.91,-4.634,0.308,13
HR≥-/EDG≥10.0/TP≥-/CV≤-/ANY,,10.0,,,ANY,221,200,105,95,52.5,45.6,59.31,-2.36,-15.59,10.88,-4.711,0.385,13
HR≥-/EDG≥10.0/TP≥50.0/CV≤0.7/OVER,,10.0,50.0,0.7,OVER,78,69,41,28,59.42,47.64,70.21,-2.39,-21.75,16.97,-1.647,0.462,13
HR≥50.0/EDG≥5.0/TP≥50.0/CV≤-/ANY,50.0,5.0,50.0,,ANY,65,58,35,23,60.34,47.49,71.91,-2.42,-23.18,18.34,-1.404,0.583,12
HR≥-/EDG≥-5.0/TP≥65.0/CV≤0.6/OVER,,-5.0,65.0,0.6,OVER,67,62,42,20,67.74,55.37,78.05,-2.45,-19.4,14.5,-1.518,0.417,12
HR≥-/EDG≥-/TP≥60.0/CV≤-/ANY,,,60.0,,ANY,135,126,85,41,67.46,58.87,75.02,-2.47,-14.39,9.46,-3.111,0.333,12
HR≥-/EDG≥2.5/TP≥50.0/CV≤0.4/ANY,,2.5,50.0,0.4,ANY,71,64,38,26,59.38,47.14,70.54,-2.48,-22.63,17.67,-1.589,0.615,13
HR≥-/EDG≥2.5/TP≥55.0/CV≤0.55/OVER,,2.5,55.0,0.55,OVER,72,64,40,24,62.5,50.25,73.33,-2.49,-21.28,16.29,-1.595,0.5,12
HR≥-/EDG≥5.0/TP≥50.0/CV≤0.4/ANY,,5.0,50.0,0.4,ANY,64,58,34,24,58.62,45.8,70.37,-2.5,-23.99,18.98,-1.453,0.615,13
HR≥-/EDG≥-/TP≥60.0/CV≤0.6/OVER,,,60.0,0.6,OVER,93,86,58,28,67.44,56.98,76.41,-2.51,-16.98,11.95,-2.162,0.333,12
HR≥-/EDG≥-/TP≥60.0/CV≤0.7/OVER,,,60.0,0.7,OVER,105,98,66,32,67.35,57.56,75.82,-2.54,-16.1,11.02,-2.487,0.333,12
HR≥-/EDG≥0.0/TP≥55.0/CV≤0.6/ANY,,0.0,55.0,0.6,ANY,125,113,70,43,61.95,52.74,70.37,-2.54,-16.8,11.72,-2.874,0.417,12
HR≥-/EDG≥2.5/TP≥55.0/CV≤0.6/OVER,,2.5,55.0,0.6,OVER,81,72,45,27,62.5,50.95,72.78,-2.59,-20.27,15.08,-1.868,0.417,12
HR≥55.0/EDG≥-/TP≥60.0/CV≤0.6/ANY,55.0,,60.0,0.6,ANY,54,50,34,16,68.0,54.19,79.24,-2.66,-21.43,16.11,-1.33,0.417,12
HR≥55.0/EDG≥-/TP≥60.0/CV≤0.6/OVER,55.0,,60.0,0.6,OVER,54,50,34,16,68.0,54.19,79.24,-2.66,-21.43,16.11,-1.33,0.417,12
HR≥-/EDG≥0.0/TP≥50.0/CV≤0.4/ANY,,0.0,50.0,0.4,ANY,77,69,41,28,59.42,47.64,70.21,-2.71,-22.04,16.62,-1.867,0.615,13
HR≥-/EDG≥-5.0/TP≥65.0/CV≤0.55/OVER,,-5.0,65.0,0.55,OVER,57,52,35,17,67.31,53.76,78.48,-2.73,-21.38,15.93,-1.418,0.417,12
HR≥-/EDG≥2.5/TP≥50.0/CV≤0.45/OVER,,2.5,50.0,0.45,OVER,72,63,38,25,60.32,47.98,71.47,-2.75,-22.61,17.1,-1.734,0.538,13
HR≥-/EDG≥-5.0/TP≥65.0/CV≤0.6/ANY,,-5.0,65.0,0.6,ANY,70,65,44,21,67.69,55.61,77.8,-2.8,-19.31,13.71,-1.819,0.417,12
HR≥-/EDG≥2.5/TP≥50.0/CV≤0.55/OVER,,2.5,50.0,0.55,OVER,98,87,52,35,59.77,49.26,69.45,-2.86,-19.9,14.18,-2.49,0.538,13
HR≥-/EDG≥-/TP≥-/CV≤0.55/ANY,,,,0.55,ANY,534,487,262,225,53.8,49.36,58.18,-2.91,-11.15,5.33,-14.182,0.231,13
HR≥60.0/EDG≥-/TP≥-/CV≤-/ANY,60.0,,,,ANY,91,83,50,33,60.24,49.48,70.09,-3.0,-20.74,14.74,-2.488,0.273,11
HR≥-/EDG≥5.0/TP≥50.0/CV≤0.55/ANY,,5.0,50.0,0.55,ANY,120,108,63,45,58.33,48.91,67.19,-3.02,-18.71,12.66,-3.265,0.385,13
HR≥50.0/EDG≥-/TP≥40.0/CV≤0.6/ANY,50.0,,40.0,0.6,ANY,209,192,112,80,58.33,51.26,65.08,-3.04,-15.06,8.97,-5.842,0.385,13
HR≥50.0/EDG≥5.0/TP≥50.0/CV≤0.6/OVER,50.0,5.0,50.0,0.6,OVER,59,53,32,21,60.38,46.94,72.41,-3.06,-24.63,18.52,-1.619,0.5,12
HR≥50.0/EDG≥5.0/TP≥50.0/CV≤0.7/OVER,50.0,5.0,50.0,0.7,OVER,59,53,32,21,60.38,46.94,72.41,-3.06,-24.63,18.52,-1.619,0.5,12
HR≥-/EDG≥-/TP≥-/CV≤0.5/ANY,,,,0.5,ANY,470,431,231,200,53.6,48.88,58.25,-3.08,-11.86,5.71,-13.257,0.154,13
HR≥-/EDG≥-/TP≥40.0/CV≤0.55/ANY,,,40.0,0.55,ANY,531,484,260,224,53.72,49.26,58.11,-3.1,-11.36,5.16,-14.995,0.308,13
HR≥-/EDG≥10.0/TP≥40.0/CV≤-/ANY,,10.0,40.0,,ANY,220,199,104,95,52.26,45.34,59.09,-3.1,-16.32,10.13,-6.161,0.385,13
HR≥55.0/EDG≥-/TP≥-/CV≤0.5/ANY,55.0,,,0.5,ANY,106,97,57,40,58.76,48.82,68.04,-3.13,-19.96,13.7,-3.034,0.5,12
HR≥-/EDG≥5.0/TP≥55.0/CV≤0.6/ANY,,5.0,55.0,0.6,ANY,93,84,51,33,60.71,50.02,70.47,-3.18,-20.04,13.68,-2.668,0.5,12
HR≥50.0/EDG≥-/TP≥-/CV≤-/ANY,50.0,,,,ANY,241,219,127,92,57.99,51.37,64.34,-3.2,-14.53,8.12,-7.017,0.385,13
