combo,hr_min,edg_min,tp_min,cv_max,side,n_total,n_graded,wins,losses,HR_pct,HR_ci_lo,HR_ci_hi,ROI_pct,ROI_ci_lo,ROI_ci_hi,P_and_L,consistency,graded_days
HR≥50.0/EDG≥-5.0/TP≥65.0/CV≤0.6/OVER,50.0,-5.0,65.0,0.6,OVER,54,50,36,14,72.0,58.33,82.53,3.36,-14.76,21.48,1.682,0.417,12
HR≥50.0/EDG≥2.5/TP≥50.0/CV≤0.7/OVER,50.0,2.5,50.0,0.7,OVER,70,63,41,22,65.08,52.75,75.67,3.35,-15.74,22.45,2.113,0.538,13
HR≥-/EDG≥-2.5/TP≥-/CV≤-/ANY,,-2.5,,,ANY,401,367,210,157,57.22,52.11,62.18,3.31,-6.13,12.75,12.134,0.538,13
HR≥-/EDG≥2.5/TP≥40.0/CV≤0.4/ANY,,2.5,40.0,0.4,ANY,113,103,58,45,56.31,46.68,65.49,3.3,-14.93,21.54,3.402,0.615,13
HR≥-/EDG≥5.0/TP≥40.0/CV≤0.45/ANY,,5.0,40.0,0.45,ANY,142,129,72,57,55.81,47.2,64.09,3.26,-13.13,19.65,4.207,0.462,13
HR≥50.0/EDG≥-/TP≥60.0/CV≤0.5/OVER,50.0,,60.0,0.5,OVER,58,52,37,15,71.15,57.73,81.67,3.25,-14.87,21.37,1.69,0.583,12
HR≥-/EDG≥-2.5/TP≥50.0/CV≤0.55/OVER,,-2.5,50.0,0.55,OVER,126,114,73,41,64.04,54.9,72.25,3.24,-11.23,17.72,3.699,0.462,13
HR≥-/EDG≥-2.5/TP≥40.0/CV≤0.45/ANY,,-2.5,40.0,0.45,ANY,196,180,103,77,57.22,49.92,64.22,3.22,-10.28,16.72,5.8,0.538,13
HR≥-/EDG≥-/TP≥40.0/CV≤-/OVER,,,40.0,,OVER,433,393,231,162,58.78,53.85,63.54,3.18,-5.7,12.06,12.496,0.462,13
HR≥-/EDG≥-5.0/TP≥55.0/CV≤0.6/ANY,,-5.0,55.0,0.6,ANY,156,140,93,47,66.43,58.26,73.72,3.17,-9.15,15.49,4.433,0.667,12
HR≥60.0/EDG≥-/TP≥50.0/CV≤-/ANY,60.0,,50.0,,ANY,67,61,42,19,68.85,56.41,79.06,3.13,-14.64,20.91,1.912,0.636,11
HR≥50.0/EDG≥7.5/TP≥40.0/CV≤0.6/ANY,50.0,7.5,40.0,0.6,ANY,67,61,37,24,60.66,48.12,71.93,3.11,-18.53,24.76,1.9,0.636,11
HR≥50.0/EDG≥2.5/TP≥50.0/CV≤0.6/ANY,50.0,2.5,50.0,0.6,ANY,72,65,42,23,64.62,52.47,75.12,3.1,-15.85,22.06,2.017,0.538,13
HR≥-/EDG≥-2.5/TP≥-/CV≤0.5/ANY,,-2.5,,0.5,ANY,246,226,128,98,56.64,50.12,62.93,3.05,-9.11,15.21,6.901,0.538,13
HR≥50.0/EDG≥-/TP≥60.0/CV≤0.6/ANY,50.0,,60.0,0.6,ANY,73,67,48,19,71.64,59.91,81.03,3.05,-12.66,18.77,2.046,0.583,12
HR≥50.0/EDG≥-/TP≥65.0/CV≤-/ANY,50.0,,65.0,,ANY,68,61,44,17,72.13,59.83,81.81,3.03,-13.23,19.29,1.849,0.5,12
HR≥55.0/EDG≥-/TP≥50.0/CV≤0.45/ANY,55.0,,50.0,0.45,ANY,62,56,38,18,67.86,54.82,78.6,3.01,-15.97,21.98,1.685,0.583,12
HR≥60.0/EDG≥-/TP≥50.0/CV≤0.7/OVER,60.0,,50.0,0.7,OVER,63,58,40,18,68.97,56.2,79.38,3.01,-15.15,21.18,1.747,0.545,11
HR≥-/EDG≥-5.0/TP≥50.0/CV≤-/UNDER,,-5.0,50.0,,UNDER,84,77,47,30,61.04,49.87,71.16,3.0,-15.72,21.71,2.307,0.583,12
HR≥-/EDG≥-5.0/TP≥40.0/CV≤0.55/ANY,,-5.0,40.0,0.55,ANY,298,270,154,116,57.04,51.07,62.8,2.97,-8.04,13.99,8.024,0.615,13
HR≥-/EDG≥5.0/TP≥55.0/CV≤-/OVER,,5.0,55.0,,OVER,71,64,42,22,65.62,53.4,76.08,2.96,-15.56,21.47,1.893,0.5,12
HR≥-/EDG≥-5.0/TP≥40.0/CV≤-/ANY,,-5.0,40.0,,ANY,431,393,226,167,57.51,52.57,62.3,2.95,-6.09,11.99,11.602,0.615,13
HR≥50.0/EDG≥5.0/TP≥-/CV≤0.5/OVER,50.0,5.0,,0.5,OVER,60,54,33,21,61.11,47.79,72.96,2.95,-19.82,25.73,1.595,0.583,12
HR≥50.0/EDG≥5.0/TP≥40.0/CV≤0.5/OVER,50.0,5.0,40.0,0.5,OVER,60,54,33,21,61.11,47.79,72.96,2.95,-19.82,25.73,1.595,0.583,12
HR≥-/EDG≥-2.5/TP≥50.0/CV≤0.6/ANY,,-2.5,50.0,0.6,ANY,194,179,113,66,63.13,55.85,69.85,2.94,-8.79,14.66,5.261,0.615,13
HR≥50.0/EDG≥10.0/TP≥-/CV≤0.6/ANY,50.0,10.0,,0.6,ANY,60,54,32,22,59.26,45.97,71.32,2.94,-20.84,26.72,1.589,0.636,11
HR≥55.0/EDG≥-2.5/TP≥40.0/CV≤0.5/ANY,55.0,-2.5,40.0,0.5,ANY,60,55,35,20,63.64,50.42,75.07,2.85,-18.5,24.2,1.568,0.5,12
HR≥50.0/EDG≥7.5/TP≥-/CV≤-/OVER,50.0,7.5,,,OVER,64,57,35,22,61.4,48.43,72.94,2.84,-19.13,24.81,1.618,0.545,11
HR≥50.0/EDG≥7.5/TP≥40.0/CV≤-/OVER,50.0,7.5,40.0,,OVER,64,57,35,22,61.4,48.43,72.94,2.84,-19.13,24.81,1.618,0.545,11
HR≥55.0/EDG≥0.0/TP≥-/CV≤0.7/ANY,55.0,0.0,,0.7,ANY,61,56,35,21,62.5,49.41,73.99,2.83,-18.99,24.66,1.587,0.583,12
HR≥-/EDG≥-5.0/TP≥40.0/CV≤0.6/ANY,,-5.0,40.0,0.6,ANY,339,308,177,131,57.47,51.89,62.86,2.8,-7.41,13.02,8.635,0.692,13
HR≥-/EDG≥7.5/TP≥55.0/CV≤0.7/OVER,,7.5,55.0,0.7,OVER,61,55,36,19,65.45,52.25,76.64,2.79,-17.26,22.85,1.536,0.5,12
HR≥-/EDG≥5.0/TP≥40.0/CV≤0.7/ANY,,5.0,40.0,0.7,ANY,250,227,126,101,55.51,49.0,61.83,2.78,-9.54,15.1,6.318,0.462,13
HR≥60.0/EDG≥-/TP≥50.0/CV≤0.6/ANY,60.0,,50.0,0.6,ANY,62,57,39,18,68.42,55.52,79.0,2.76,-15.76,21.28,1.572,0.636,11
HR≥-/EDG≥2.5/TP≥-/CV≤0.7/ANY,,2.5,,0.7,ANY,288,262,147,115,56.11,50.05,61.98,2.75,-8.6,14.1,7.197,0.462,13
HR≥-/EDG≥-2.5/TP≥50.0/CV≤-/UNDER,,-2.5,50.0,,UNDER,79,74,45,29,60.81,49.42,71.14,2.68,-16.46,21.82,1.983,0.583,12
HR≥-/EDG≥-2.5/TP≥-/CV≤0.7/ANY,,-2.5,,0.7,ANY,360,330,188,142,56.97,51.58,62.2,2.67,-7.28,12.62,8.819,0.538,13
HR≥-/EDG≥0.0/TP≥50.0/CV≤-/ANY,,0.0,50.0,,ANY,217,198,123,75,62.12,55.19,68.59,2.66,-8.68,14.01,5.268,0.538,13
HR≥-/EDG≥5.0/TP≥-/CV≤0.6/ANY,,5.0,,0.6,ANY,224,204,113,91,55.39,48.53,62.05,2.65,-10.36,15.67,5.414,0.462,13
HR≥-/EDG≥-5.0/TP≥60.0/CV≤0.55/OVER,,-5.0,60.0,0.55,OVER,63,57,40,17,70.18,57.34,80.47,2.63,-14.97,20.23,1.499,0.417,12
HR≥50.0/EDG≥2.5/TP≥50.0/CV≤-/OVER,50.0,2.5,50.0,,OVER,73,65,42,23,64.62,52.47,75.12,2.62,-16.22,21.47,1.705,0.538,13
HR≥-/EDG≥5.0/TP≥40.0/CV≤0.55/ANY,,5.0,40.0,0.55,ANY,200,182,101,81,55.49,48.23,62.53,2.61,-11.13,16.36,4.756,0.385,13
HR≥-/EDG≥-5.0/TP≥60.0/CV≤0.5/OVER,,-5.0,60.0,0.5,OVER,56,50,35,15,70.0,56.25,80.9,2.6,-16.29,21.5,1.302,0.417,12
HR≥-/EDG≥-2.5/TP≥40.0/CV≤-/ANY,,-2.5,40.0,,ANY,399,365,208,157,56.99,51.86,61.97,2.56,-6.88,11.99,9.334,0.538,13
HR≥55.0/EDG≥-2.5/TP≥-/CV≤0.6/ANY,55.0,-2.5,,0.6,ANY,71,66,42,24,63.64,51.58,74.19,2.55,-16.99,22.09,1.685,0.583,12
