combo_label,n,graded,wins,losses,pushes,ungraded,hit_rate_pct,roi_pct,profit_units,stake_units,avg_odds,avg_tp,avg_cv,avg_hr_l20,balanced_score
HR20=90,133,88,82,6,0,45,93.18,0.59,0.5209,88.0,-1909.158,85.104,0.439,94.694,0.7764
HR20=85,186,114,104,10,0,72,91.23,-0.14,-0.1613,114.0,-1602.511,83.232,0.478,92.303,0.8048
HR20=80,273,164,144,20,0,109,87.8,-2.73,-4.4816,164.0,-1371.106,81.216,0.518,88.627,0.7952
HR20=75,338,195,169,26,0,143,86.67,-2.96,-5.7794,195.0,-1230.565,80.493,0.544,86.097,0.7788
HR20=70,406,235,201,34,0,171,85.53,-3.12,-7.3396,235.0,-1121.2,79.213,0.584,83.541,0.7629
HR20=65,477,266,224,42,0,211,84.21,-4.07,-10.8394,266.0,-1038.356,78.232,0.616,80.925,0.7369
HR20=60,521,284,237,47,0,237,83.45,-4.58,-13.0175,284.0,-993.912,77.446,0.636,79.266,0.7223
HR20=55,546,294,244,50,0,252,82.99,-4.99,-14.6816,294.0,-971.055,77.195,0.65,78.184,0.7125
HR20=50,585,316,261,55,0,269,82.59,-4.66,-14.7134,316.0,-932.73,76.328,0.664,76.403,0.7108
CV<==0.4,120,87,75,12,0,33,86.21,-2.74,-2.3815,87.0,-1392.367,81.609,0.33,82.554,0.6944
CV<==0.5,228,171,147,24,0,57,85.96,-2.64,-4.5207,171.0,-1384.382,80.597,0.387,79.745,0.7731
CV<==0.6,293,212,182,30,0,81,85.85,-2.8,-5.9305,212.0,-1319.201,79.454,0.423,78.381,0.7701
CV<==0.7,405,271,227,44,0,134,83.76,-4.15,-11.2485,271.0,-1146.064,78.012,0.485,75.55,0.7305
CV<==0.8,472,308,253,55,0,164,82.14,-5.45,-16.7823,308.0,-1054.11,77.499,0.524,74.092,0.6972
CV<==0.9,553,346,281,65,0,207,81.21,-6.0,-20.7707,346.0,-974.58,76.791,0.572,70.841,0.6801
CV<==1.0,637,394,315,79,0,243,79.95,-6.7,-26.409,394.0,-904.331,76.393,0.622,67.779,0.6574
