band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥50,60.0,-5.0,0.7,0.0,50.0,107,95,57,38,60.0,-14.56,-28.69,-0.44,-13.834,0.25,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥55,60.0,-5.0,0.7,0.0,55.0,107,95,57,38,60.0,-14.56,-28.69,-0.44,-13.834,0.25,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥60,60.0,-5.0,0.7,0.0,60.0,107,95,57,38,60.0,-14.56,-28.69,-0.44,-13.834,0.25,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥65,63.29,-5.0,0.7,0.0,65.0,87,79,50,29,63.29,-10.54,-25.68,4.61,-8.324,0.417,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥-,63.64,-5.0,0.7,0.5,,75,66,42,24,63.64,-9.83,-26.43,6.77,-6.49,0.333,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥50,63.64,-5.0,0.7,0.5,50.0,75,66,42,24,63.64,-9.83,-26.43,6.77,-6.49,0.333,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥55,63.64,-5.0,0.7,0.5,55.0,75,66,42,24,63.64,-9.83,-26.43,6.77,-6.49,0.333,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥60,63.64,-5.0,0.7,0.5,60.0,75,66,42,24,63.64,-9.83,-26.43,6.77,-6.49,0.333,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥65,66.67,-5.0,0.7,0.5,65.0,63,57,38,19,66.67,-6.11,-23.53,11.31,-3.481,0.417,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.6/μ≥-/TP≥-,65.62,-5.0,0.6,,,36,32,21,11,65.62,-6.09,-30.06,17.88,-1.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.6/μ≥-/TP≥50,65.62,-5.0,0.6,,50.0,36,32,21,11,65.62,-6.09,-30.06,17.88,-1.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.6/μ≥-/TP≥55,65.62,-5.0,0.6,,55.0,36,32,21,11,65.62,-6.09,-30.06,17.88,-1.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.6/μ≥-/TP≥60,65.62,-5.0,0.6,,60.0,36,32,21,11,65.62,-6.09,-30.06,17.88,-1.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.6/μ≥0.0/TP≥-,65.62,-5.0,0.6,0.0,,36,32,21,11,65.62,-6.09,-30.06,17.88,-1.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.6/μ≥0.0/TP≥50,65.62,-5.0,0.6,0.0,50.0,36,32,21,11,65.62,-6.09,-30.06,17.88,-1.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.6/μ≥0.0/TP≥55,65.62,-5.0,0.6,0.0,55.0,36,32,21,11,65.62,-6.09,-30.06,17.88,-1.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.6/μ≥0.0/TP≥60,65.62,-5.0,0.6,0.0,60.0,36,32,21,11,65.62,-6.09,-30.06,17.88,-1.949,0.417,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥-/TP≥-,63.53,0.0,,,,387,340,216,124,63.53,-8.25,-15.66,-0.84,-28.053,0.308,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥-/TP≥50,63.53,0.0,,,50.0,387,340,216,124,63.53,-8.25,-15.66,-0.84,-28.053,0.308,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥-/TP≥55,63.53,0.0,,,55.0,387,340,216,124,63.53,-8.25,-15.66,-0.84,-28.053,0.308,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥-/TP≥60,63.53,0.0,,,60.0,387,340,216,124,63.53,-8.25,-15.66,-0.84,-28.053,0.308,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥-/TP≥65,65.15,0.0,,,65.0,272,241,157,84,65.15,-7.13,-15.74,1.48,-17.186,0.385,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥0.0/TP≥-,63.53,0.0,,0.0,,387,340,216,124,63.53,-8.25,-15.66,-0.84,-28.053,0.308,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥0.0/TP≥50,63.53,0.0,,0.0,50.0,387,340,216,124,63.53,-8.25,-15.66,-0.84,-28.053,0.308,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥0.0/TP≥55,63.53,0.0,,0.0,55.0,387,340,216,124,63.53,-8.25,-15.66,-0.84,-28.053,0.308,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥0.0/TP≥60,63.53,0.0,,0.0,60.0,387,340,216,124,63.53,-8.25,-15.66,-0.84,-28.053,0.308,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥0.0/TP≥65,65.15,0.0,,0.0,65.0,272,241,157,84,65.15,-7.13,-15.74,1.48,-17.186,0.385,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥0.5/TP≥-,62.41,0.0,,0.5,,325,282,176,106,62.41,-10.16,-18.32,-1.99,-28.645,0.231,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥0.5/TP≥50,62.41,0.0,,0.5,50.0,325,282,176,106,62.41,-10.16,-18.32,-1.99,-28.645,0.231,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥0.5/TP≥55,62.41,0.0,,0.5,55.0,325,282,176,106,62.41,-10.16,-18.32,-1.99,-28.645,0.231,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥0.5/TP≥60,62.41,0.0,,0.5,60.0,325,282,176,106,62.41,-10.16,-18.32,-1.99,-28.645,0.231,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥0.5/TP≥65,65.02,0.0,,0.5,65.0,233,203,132,71,65.02,-7.58,-16.94,1.79,-15.379,0.308,13
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥1.0/TP≥-,61.33,0.0,,1.0,,91,75,46,29,61.33,-12.47,-28.33,3.39,-9.353,0.4,10
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥1.0/TP≥50,61.33,0.0,,1.0,50.0,91,75,46,29,61.33,-12.47,-28.33,3.39,-9.353,0.4,10
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥1.0/TP≥55,61.33,0.0,,1.0,55.0,91,75,46,29,61.33,-12.47,-28.33,3.39,-9.353,0.4,10
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥1.0/TP≥60,61.33,0.0,,1.0,60.0,91,75,46,29,61.33,-12.47,-28.33,3.39,-9.353,0.4,10
"[-299,-200]",HR≥45/EDG≥0.0/CV≤-/μ≥1.0/TP≥65,64.29,0.0,,1.0,65.0,67,56,36,20,64.29,-9.48,-27.33,8.38,-5.308,0.4,10
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥-/TP≥-,62.2,0.0,0.7,,,91,82,51,31,62.2,-11.51,-26.56,3.55,-9.437,0.417,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥-/TP≥50,62.2,0.0,0.7,,50.0,91,82,51,31,62.2,-11.51,-26.56,3.55,-9.437,0.417,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥-/TP≥55,62.2,0.0,0.7,,55.0,91,82,51,31,62.2,-11.51,-26.56,3.55,-9.437,0.417,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥-/TP≥60,62.2,0.0,0.7,,60.0,91,82,51,31,62.2,-11.51,-26.56,3.55,-9.437,0.417,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥-/TP≥65,63.77,0.0,0.7,,65.0,75,69,44,25,63.77,-10.04,-26.18,6.1,-6.927,0.417,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥0.0/TP≥-,62.2,0.0,0.7,0.0,,91,82,51,31,62.2,-11.51,-26.56,3.55,-9.437,0.417,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥0.0/TP≥50,62.2,0.0,0.7,0.0,50.0,91,82,51,31,62.2,-11.51,-26.56,3.55,-9.437,0.417,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥0.0/TP≥55,62.2,0.0,0.7,0.0,55.0,91,82,51,31,62.2,-11.51,-26.56,3.55,-9.437,0.417,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥0.0/TP≥60,62.2,0.0,0.7,0.0,60.0,91,82,51,31,62.2,-11.51,-26.56,3.55,-9.437,0.417,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥0.0/TP≥65,63.77,0.0,0.7,0.0,65.0,75,69,44,25,63.77,-10.04,-26.18,6.1,-6.927,0.417,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥0.5/TP≥-,63.64,0.0,0.7,0.5,,75,66,42,24,63.64,-9.83,-26.43,6.77,-6.49,0.333,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥0.5/TP≥50,63.64,0.0,0.7,0.5,50.0,75,66,42,24,63.64,-9.83,-26.43,6.77,-6.49,0.333,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥0.5/TP≥55,63.64,0.0,0.7,0.5,55.0,75,66,42,24,63.64,-9.83,-26.43,6.77,-6.49,0.333,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥0.5/TP≥60,63.64,0.0,0.7,0.5,60.0,75,66,42,24,63.64,-9.83,-26.43,6.77,-6.49,0.333,12
"[-299,-200]",HR≥45/EDG≥0.0/CV≤0.7/μ≥0.5/TP≥65,66.67,0.0,0.7,0.5,65.0,63,57,38,19,66.67,-6.11,-23.53,11.31,-3.481,0.417,12
"[-299,-200]",HR≥45/EDG≥5.0/CV≤-/μ≥-/TP≥-,61.87,5.0,,,,295,257,159,98,61.87,-10.69,-19.3,-2.09,-27.486,0.154,13
"[-299,-200]",HR≥45/EDG≥5.0/CV≤-/μ≥-/TP≥50,61.87,5.0,,,50.0,295,257,159,98,61.87,-10.69,-19.3,-2.09,-27.486,0.154,13
"[-299,-200]",HR≥45/EDG≥5.0/CV≤-/μ≥-/TP≥55,61.87,5.0,,,55.0,295,257,159,98,61.87,-10.69,-19.3,-2.09,-27.486,0.154,13
"[-299,-200]",HR≥45/EDG≥5.0/CV≤-/μ≥-/TP≥60,61.87,5.0,,,60.0,295,257,159,98,61.87,-10.69,-19.3,-2.09,-27.486,0.154,13
"[-299,-200]",HR≥45/EDG≥5.0/CV≤-/μ≥-/TP≥65,64.09,5.0,,,65.0,207,181,116,65,64.09,-8.71,-18.7,1.29,-15.756,0.231,13
"[-299,-200]",HR≥45/EDG≥5.0/CV≤-/μ≥0.0/TP≥-,61.87,5.0,,0.0,,295,257,159,98,61.87,-10.69,-19.3,-2.09,-27.486,0.154,13
"[-299,-200]",HR≥45/EDG≥5.0/CV≤-/μ≥0.0/TP≥50,61.87,5.0,,0.0,50.0,295,257,159,98,61.87,-10.69,-19.3,-2.09,-27.486,0.154,13
