month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥-/TP≥65,167,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥0.0/TP≥-,327,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥0.0/TP≥50,167,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥0.0/TP≥55,167,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥0.0/TP≥60,167,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥0.0/TP≥65,167,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥0.5/TP≥-,327,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥0.5/TP≥50,167,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥0.5/TP≥55,167,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥0.5/TP≥60,167,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥0.5/TP≥65,167,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥1.0/TP≥-,274,62,51,11,82.26,6.38,-6.03,18.79,3.955,0.667,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥1.0/TP≥50,140,62,51,11,82.26,6.38,-6.03,18.79,3.955,0.667,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥1.0/TP≥55,140,62,51,11,82.26,6.38,-6.03,18.79,3.955,0.667,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥1.0/TP≥60,140,62,51,11,82.26,6.38,-6.03,18.79,3.955,0.667,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥1.0/TP≥65,140,62,51,11,82.26,6.38,-6.03,18.79,3.955,0.667,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥-/TP≥-,155,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥-/TP≥50,79,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥-/TP≥55,79,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥-/TP≥60,79,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥-/TP≥65,79,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
