month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥60,439,368,257,111,69.84,-0.7,-7.39,5.99,-2.589,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥65,431,361,255,106,70.64,0.41,-6.29,7.11,1.468,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.0/TP≥-,439,368,257,111,69.84,-0.7,-7.39,5.99,-2.589,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.0/TP≥50,439,368,257,111,69.84,-0.7,-7.39,5.99,-2.589,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.0/TP≥55,439,368,257,111,69.84,-0.7,-7.39,5.99,-2.589,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.0/TP≥60,439,368,257,111,69.84,-0.7,-7.39,5.99,-2.589,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.0/TP≥65,431,361,255,106,70.64,0.41,-6.29,7.11,1.468,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.5/TP≥-,346,284,200,84,70.42,-0.14,-7.69,7.42,-0.39,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.5/TP≥50,346,284,200,84,70.42,-0.14,-7.69,7.42,-0.39,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.5/TP≥55,346,284,200,84,70.42,-0.14,-7.69,7.42,-0.39,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.5/TP≥60,346,284,200,84,70.42,-0.14,-7.69,7.42,-0.39,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.5/TP≥65,345,283,200,83,70.67,0.22,-7.33,7.76,0.61,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥1.0/TP≥-,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥1.0/TP≥50,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥1.0/TP≥55,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥1.0/TP≥60,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥1.0/TP≥65,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥-/TP≥-,108,91,69,22,75.82,7.31,-5.24,19.85,6.65,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥-/TP≥50,108,91,69,22,75.82,7.31,-5.24,19.85,6.65,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥-/TP≥55,108,91,69,22,75.82,7.31,-5.24,19.85,6.65,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥-/TP≥60,108,91,69,22,75.82,7.31,-5.24,19.85,6.65,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥-/TP≥65,108,91,69,22,75.82,7.31,-5.24,19.85,6.65,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥-,108,91,69,22,75.82,7.31,-5.24,19.85,6.65,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥50,108,91,69,22,75.82,7.31,-5.24,19.85,6.65,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥55,108,91,69,22,75.82,7.31,-5.24,19.85,6.65,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥60,108,91,69,22,75.82,7.31,-5.24,19.85,6.65,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥65,108,91,69,22,75.82,7.31,-5.24,19.85,6.65,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥-,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥50,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥55,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥60,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥65,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥1.0/TP≥-,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥1.0/TP≥50,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥1.0/TP≥55,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥1.0/TP≥60,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
