combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,avg_odds,avg_tp,avg_cv,avg_hr_l20,devig_n_graded,devig_hr,devig_roi,onesided_std_n_graded,onesided_std_hr,onesided_std_roi,onesided_alt_n_graded,onesided_alt_hr,onesided_alt_roi,balanced_score
HR20=60 CV<==0.8,835,245,590,210,35,0,85.71,80.78,89.55,-3.01,-8.16,1.85,-7.3623,245.0,-1207.798,81.6,0.511,82.389,4,100.0,26.51,241,85.48,-3.49,0,,,0.7663
HR20=60 CV<==0.9,920,253,667,216,37,0,85.38,80.49,89.2,-3.28,-8.3,1.36,-8.2997,253.0,-1144.59,81.265,0.542,81.199,4,100.0,26.51,249,85.14,-3.76,0,,,0.7594
HR20=60 CV<==1.0,1006,264,742,222,42,0,84.09,79.19,88.01,-4.41,-9.72,0.89,-11.6324,264.0,-1081.672,80.99,0.577,80.507,4,100.0,26.51,260,83.85,-4.88,0,,,0.732
HR20=60 CV<==1.1,1047,275,772,229,46,0,83.27,78.41,87.22,-5.08,-10.31,-0.11,-13.9631,275.0,-1057.878,80.711,0.595,80.06,4,100.0,26.51,271,83.03,-5.54,0,,,0.7151
HR20=55 CV<==0.4,237,81,156,71,10,0,87.65,78.74,93.15,-1.49,-9.94,6.53,-1.2108,81.0,-1472.705,82.933,0.333,86.762,2,100.0,26.31,79,87.34,-2.2,0,,,0.7167
HR20=55 CV<==0.5,448,154,294,135,19,0,87.66,81.53,91.96,-1.77,-7.9,4.29,-2.725,154.0,-1491.08,82.592,0.387,84.792,3,100.0,26.43,151,87.42,-2.33,0,,,0.8031
HR20=55 CV<==0.6,571,188,383,165,23,0,87.77,82.31,91.71,-1.78,-7.42,3.78,-3.3484,188.0,-1453.907,81.887,0.421,83.897,3,100.0,26.43,185,87.57,-2.24,0,,,0.8043
HR20=55 CV<==0.7,738,226,512,196,30,0,86.73,81.68,90.54,-2.31,-7.84,2.88,-5.2199,226.0,-1285.832,81.788,0.473,82.608,3,100.0,26.43,223,86.55,-2.7,0,,,0.786
HR20=55 CV<==0.8,861,250,611,213,37,0,85.2,80.27,89.07,-3.43,-8.08,1.54,-8.5821,250.0,-1185.223,81.324,0.514,81.619,4,100.0,26.51,246,84.96,-3.92,0,,,0.7557
HR20=55 CV<==0.9,953,262,691,223,39,0,85.11,80.3,88.92,-3.42,-8.44,1.22,-8.9639,262.0,-1122.902,80.975,0.546,80.35,4,100.0,26.51,258,84.88,-3.89,0,,,0.7547
HR20=55 CV<==1.0,1044,273,771,229,44,0,83.88,79.06,87.77,-4.5,-9.65,0.75,-12.2966,273.0,-1060.595,80.784,0.581,79.632,4,100.0,26.51,269,83.64,-4.97,0,,,0.7285
HR20=55 CV<==1.1,1088,285,803,236,49,0,82.81,78.0,86.74,-5.48,-10.45,-0.13,-15.6273,285.0,-1037.007,80.481,0.6,79.17,4,100.0,26.51,281,82.56,-5.94,0,,,0.7053
HR20=50 CV<==0.4,242,81,161,71,10,0,87.65,78.74,93.15,-1.49,-9.94,6.53,-1.2108,81.0,-1449.281,82.676,0.334,86.018,2,100.0,26.31,79,87.34,-2.2,0,,,0.7167
HR20=50 CV<==0.5,468,158,310,139,19,0,87.97,81.98,92.16,-0.93,-6.69,4.33,-1.4704,158.0,-1443.748,82.115,0.389,83.398,4,100.0,26.97,154,87.66,-1.66,0,,,0.8153
HR20=50 CV<==0.6,601,195,406,171,24,0,87.69,82.34,91.59,-1.36,-6.73,4.05,-2.6438,195.0,-1401.637,81.281,0.424,82.305,4,100.0,26.97,191,87.43,-1.95,0,,,0.8075
HR20=50 CV<==0.7,778,239,539,206,33,0,86.19,81.24,90.0,-2.22,-7.3,2.62,-5.3073,239.0,-1240.526,81.069,0.475,81.021,5,100.0,26.91,234,85.9,-2.84,0,,,0.7802
HR20=50 CV<==0.8,906,263,643,223,40,0,84.79,79.95,88.63,-3.3,-8.45,1.44,-8.6695,263.0,-1146.294,80.623,0.515,80.13,6,100.0,26.88,257,84.44,-4.0,0,,,0.7519
HR20=50 CV<==0.9,999,275,724,233,42,0,84.73,80.0,88.5,-3.29,-8.26,1.12,-9.0513,275.0,-1089.731,80.35,0.546,79.026,6,100.0,26.88,269,84.39,-3.96,0,,,0.7512
HR20=50 CV<==1.0,1102,288,814,241,47,0,83.68,78.97,87.5,-4.1,-9.12,0.81,-11.8147,288.0,-1025.8,80.015,0.584,78.151,6,100.0,26.88,282,83.33,-4.76,0,,,0.73
HR20=50 CV<==1.1,1148,300,848,248,52,0,82.67,77.98,86.53,-5.05,-9.89,0.29,-15.1453,300.0,-1003.717,79.699,0.602,77.722,6,100.0,26.88,294,82.31,-5.7,0,,,0.7079
HR20=90 TP=75,237,75,162,71,4,0,94.67,87.07,97.91,1.17,-5.05,5.93,0.8749,75.0,-2107.316,89.459,0.431,95.067,0,,,75,94.67,1.17,0,,,0.7644
HR20=90 TP=70,255,82,173,78,4,0,95.12,88.12,98.09,2.27,-3.69,7.03,1.8584,82.0,-2011.863,88.241,0.435,94.874,0,,,82,95.12,2.27,0,,,0.785
HR20=90 TP=65,266,85,181,81,4,0,95.29,88.52,98.16,2.57,-2.63,6.84,2.1876,85.0,-1972.511,87.352,0.437,94.751,0,,,85,95.29,2.57,0,,,0.7921
HR20=90 TP=60,273,88,185,82,6,0,93.18,85.91,96.84,0.59,-5.83,6.3,0.5209,88.0,-1941.432,86.717,0.438,94.669,0,,,88,93.18,0.59,0,,,0.7764
HR20=90 TP=55,274,88,186,82,6,0,93.18,85.91,96.84,0.59,-5.83,6.3,0.5209,88.0,-1935.898,86.618,0.438,94.658,0,,,88,93.18,0.59,0,,,0.7764
HR20=90 TP=50,274,88,186,82,6,0,93.18,85.91,96.84,0.59,-5.83,6.3,0.5209,88.0,-1935.898,86.618,0.438,94.658,0,,,88,93.18,0.59,0,,,0.7764
HR20=85 TP=75,312,92,220,86,6,0,93.48,86.49,96.98,0.92,-4.86,5.91,0.8476,92.0,-1843.196,88.966,0.463,92.937,0,,,92,93.48,0.92,0,,,0.7852
HR20=85 TP=70,339,104,235,97,7,0,93.27,86.75,96.7,1.8,-4.12,6.91,1.8668,104.0,-1748.245,87.637,0.468,92.717,0,,,104,93.27,1.8,0,,,0.8105
HR20=85 TP=65,356,110,246,102,8,0,92.73,86.3,96.27,1.23,-4.44,6.45,1.3515,110.0,-1711.43,86.657,0.473,92.59,0,,,110,92.73,1.23,0,,,0.813
HR20=85 TP=60,370,113,257,103,10,0,91.15,84.47,95.12,-0.28,-6.49,5.22,-0.3151,113.0,-1668.424,85.737,0.476,92.434,0,,,113,91.15,-0.28,0,,,0.802
HR20=85 TP=55,371,113,258,103,10,0,91.15,84.47,95.12,-0.28,-6.49,5.22,-0.3151,113.0,-1665.073,85.667,0.477,92.432,0,,,113,91.15,-0.28,0,,,0.802
HR20=85 TP=50,373,114,259,104,10,0,91.23,84.6,95.17,-0.14,-6.3,5.2,-0.1613,114.0,-1659.161,85.555,0.476,92.409,0,,,114,91.23,-0.14,0,,,0.8048
HR20=80 TP=75,455,121,334,111,10,0,91.74,85.45,95.45,0.52,-5.25,5.36,0.6284,121.0,-1542.211,88.614,0.503,89.2,0,,,121,91.74,0.52,0,,,0.821
HR20=80 TP=70,507,139,368,127,12,0,91.37,85.52,94.99,0.97,-4.93,6.23,1.3436,139.0,-1462.489,86.943,0.507,88.848,0,,,139,91.37,0.97,0,,,0.8501
HR20=80 TP=65,547,151,396,137,14,0,90.73,85.04,94.4,0.19,-5.37,5.5,0.2899,151.0,-1418.761,85.531,0.519,88.539,0,,,151,90.73,0.19,0,,,0.8519
HR20=80 TP=60,572,158,414,140,18,0,88.61,82.71,92.67,-2.06,-7.63,3.42,-3.2498,158.0,-1385.76,84.536,0.523,88.382,0,,,158,88.61,-2.06,0,,,0.812
HR20=80 TP=55,580,162,418,142,20,0,87.65,81.7,91.86,-3.03,-8.87,2.66,-4.9117,162.0,-1373.569,84.195,0.524,88.301,0,,,162,87.65,-3.03,0,,,0.7903
HR20=80 TP=50,583,164,419,144,20,0,87.8,81.91,91.97,-2.73,-8.08,2.78,-4.4816,164.0,-1369.051,84.111,0.523,88.286,1,100.0,27.62,163,87.73,-2.92,0,,,0.7952
HR20=75 TP=75,544,140,404,128,12,0,91.43,85.62,95.03,1.07,-4.2,6.19,1.5047,140.0,-1427.915,88.296,0.529,86.946,0,,,140,91.43,1.07,0,,,0.8525
HR20=75 TP=70,618,161,457,145,16,0,90.06,84.47,93.79,0.31,-4.85,5.53,0.5056,161.0,-1349.809,86.376,0.537,86.453,0,,,161,90.06,0.31,0,,,0.8531
HR20=75 TP=65,675,178,497,159,19,0,89.33,83.93,93.06,-0.39,-5.71,4.41,-0.6965,178.0,-1302.696,84.796,0.552,86.07,0,,,178,89.33,-0.39,0,,,0.8377
HR20=75 TP=60,706,187,519,164,23,0,87.7,82.22,91.66,-2.03,-7.65,3.14,-3.7976,187.0,-1273.052,83.824,0.555,85.94,0,,,187,87.7,-2.03,0,,,0.801
HR20=75 TP=55,716,192,524,166,26,0,86.46,80.9,90.59,-3.36,-8.81,1.76,-6.4595,192.0,-1262.092,83.482,0.556,85.871,0,,,192,86.46,-3.36,0,,,0.7721
HR20=75 TP=50,722,195,527,169,26,0,86.67,81.18,90.74,-2.96,-8.27,2.3,-5.7794,195.0,-1255.162,83.292,0.555,85.827,1,100.0,27.62,194,86.6,-3.12,0,,,0.7788
HR20=70 TP=75,627,160,467,147,13,0,91.88,86.6,95.19,2.41,-2.03,6.87,3.8524,160.0,-1319.463,88.003,0.563,84.808,0,,,160,91.88,2.41,0,,,0.8741
HR20=70 TP=70,721,185,536,166,19,0,89.73,84.52,93.33,0.63,-4.77,5.39,1.1684,185.0,-1241.816,85.963,0.57,84.221,0,,,185,89.73,0.63,0,,,0.8529
HR20=70 TP=65,802,210,592,187,23,0,89.05,84.1,92.59,0.42,-5.03,5.14,0.8719,210.0,-1188.274,84.112,0.587,83.659,0,,,210,89.05,0.42,0,,,0.8423
HR20=70 TP=60,849,222,627,193,29,0,86.94,81.87,90.75,-1.85,-7.33,3.19,-4.1042,222.0,-1154.399,82.929,0.591,83.394,0,,,222,86.94,-1.85,0,,,0.7933
HR20=70 TP=55,869,232,637,198,34,0,85.34,80.22,89.32,-3.46,-9.76,1.8,-8.0196,232.0,-1139.333,82.361,0.594,83.215,0,,,232,85.34,-3.46,0,,,0.7571
HR20=70 TP=50,875,235,640,201,34,0,85.53,80.46,89.46,-3.12,-8.52,1.83,-7.3396,235.0,-1134.456,82.212,0.593,83.197,1,100.0,27.62,234,85.47,-3.25,0,,,0.7629
HR20=65 TP=75,706,173,533,158,15,0,91.33,86.19,94.68,2.36,-3.0,6.95,4.0818,173.0,-1236.449,87.807,0.585,82.677,1,100.0,25.0,172,91.28,2.23,0,,,0.8736
HR20=65 TP=70,815,204,611,182,22,0,89.22,84.21,92.77,0.68,-4.0,5.34,1.3944,204.0,-1163.207,85.747,0.594,82.093,1,100.0,25.0,203,89.16,0.56,0,,,0.847
HR20=65 TP=65,909,231,678,205,26,0,88.74,84.02,92.2,0.65,-3.94,5.17,1.4902,231.0,-1115.681,83.888,0.608,81.568,2,100.0,25.87,229,88.65,0.42,0,,,0.8407
HR20=65 TP=60,972,249,723,214,35,0,85.94,81.08,89.72,-2.35,-7.46,2.78,-5.8541,249.0,-1084.118,82.52,0.613,81.184,3,100.0,27.05,246,85.77,-2.71,0,,,0.7757
HR20=65 TP=55,996,262,734,221,41,0,84.35,79.46,88.25,-4.02,-9.21,0.86,-10.5195,262.0,-1070.348,81.933,0.616,81.011,3,100.0,27.05,259,84.17,-4.37,0,,,0.7392
HR20=65 TP=50,1006,266,740,224,42,0,84.21,79.35,88.1,-4.07,-9.26,0.89,-10.8394,266.0,-1063.648,81.688,0.616,80.947,4,100.0,27.19,262,83.97,-4.55,0,,,0.7369
HR20=60 TP=75,755,180,575,165,15,0,91.67,86.71,94.89,3.03,-2.18,7.3,5.458,180.0,-1195.413,87.541,0.603,81.268,1,100.0,25.0,179,91.62,2.91,0,,,0.8803
HR20=60 TP=70,880,214,666,191,23,0,89.25,84.39,92.73,1.01,-3.75,5.79,2.1563,214.0,-1121.149,85.384,0.616,80.533,1,100.0,25.0,213,89.2,0.89,0,,,0.8507
HR20=60 TP=65,984,244,740,215,29,0,88.11,83.45,91.6,0.24,-4.74,4.53,0.5822,244.0,-1076.966,83.513,0.629,80.004,2,100.0,25.87,242,88.02,0.03,0,,,0.8288
HR20=60 TP=60,1056,262,794,224,38,0,85.5,80.72,89.25,-2.58,-7.54,1.97,-6.7622,262.0,-1045.813,82.113,0.636,79.58,3,100.0,27.05,259,85.33,-2.92,0,,,0.7679
HR20=60 TP=55,1087,278,809,232,46,0,83.45,78.63,87.36,-4.73,-10.13,0.33,-13.1609,278.0,-1031.695,81.446,0.638,79.346,4,100.0,26.95,274,83.21,-5.2,0,,,0.7208
HR20=60 TP=50,1101,284,817,237,47,0,83.45,78.69,87.32,-4.58,-9.82,0.7,-13.0175,284.0,-1024.648,81.124,0.639,79.242,5,100.0,27.09,279,83.15,-5.15,0,,,0.7223
HR20=55 TP=75,778,186,592,170,16,0,91.4,86.48,94.64,2.8,-2.37,7.43,5.2135,186.0,-1175.65,87.451,0.609,80.518,1,100.0,25.0,185,91.35,2.68,0,,,0.878
HR20=55 TP=70,907,221,686,196,25,0,88.69,83.83,92.22,0.41,-4.45,4.94,0.9118,221.0,-1102.628,85.302,0.622,79.797,1,100.0,25.0,220,88.64,0.3,0,,,0.8377
HR20=55 TP=65,1019,252,767,221,31,0,87.7,83.07,91.2,-0.16,-4.72,4.55,-0.4025,252.0,-1056.442,83.367,0.635,79.179,2,100.0,25.87,250,87.6,-0.37,0,,,0.8196
HR20=55 TP=60,1096,270,826,230,40,0,85.19,80.46,88.93,-2.87,-7.75,1.93,-7.7469,270.0,-1024.728,81.937,0.641,78.726,3,100.0,27.05,267,85.02,-3.21,0,,,0.7612
HR20=55 TP=55,1133,288,845,239,49,0,82.99,78.22,86.88,-5.15,-10.3,-0.03,-14.8251,288.0,-1009.207,81.177,0.645,78.408,4,100.0,26.95,284,82.75,-5.6,0,,,0.7109
HR20=55 TP=50,1150,294,856,244,50,0,82.99,78.28,86.86,-4.99,-10.1,-0.14,-14.6816,294.0,-1001.383,80.795,0.646,78.264,5,100.0,27.09,289,82.7,-5.55,0,,,0.7125
HR20=50 TP=75,800,194,606,176,18,0,90.72,85.81,94.05,2.53,-2.29,7.16,4.9045,194.0,-1153.648,87.308,0.614,79.707,2,100.0,26.79,192,90.62,2.28,0,,,0.8753
HR20=50 TP=70,941,233,708,204,29,0,87.55,82.7,91.19,-0.34,-5.41,4.2,-0.7891,233.0,-1077.594,85.07,0.626,78.776,2,100.0,26.79,231,87.45,-0.57,0,,,0.816
HR20=50 TP=65,1060,265,795,229,36,0,86.42,81.77,90.02,-1.17,-5.96,3.69,-3.1035,265.0,-1031.574,83.122,0.64,78.1,3,100.0,26.77,262,86.26,-1.49,0,,,0.7935
HR20=50 TP=60,1150,287,863,242,45,0,84.32,79.66,88.07,-3.2,-8.07,1.95,-9.1859,287.0,-995.203,81.538,0.65,77.441,4,100.0,27.43,283,84.1,-3.63,0,,,0.747
HR20=50 TP=55,1196,309,887,255,54,0,82.52,77.9,86.35,-4.89,-10.12,-0.01,-15.1235,309.0,-976.829,80.653,0.656,76.984,5,100.0,27.28,304,82.24,-5.42,0,,,0.7076
