band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥0.0/TP≥60,69.4,,0.5,0.0,60.0,137,134,93,41,69.4,-1.72,-12.83,9.39,-2.306,0.481,27
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥0.0/TP≥65,69.75,,0.5,0.0,65.0,122,119,83,36,69.75,-1.51,-13.24,10.21,-1.802,0.462,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥0.5/TP≥-,68.29,,0.5,0.5,,126,123,84,39,68.29,-3.31,-15.02,8.4,-4.072,0.462,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥0.5/TP≥50,68.29,,0.5,0.5,50.0,126,123,84,39,68.29,-3.31,-15.02,8.4,-4.072,0.462,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥0.5/TP≥55,68.29,,0.5,0.5,55.0,126,123,84,39,68.29,-3.31,-15.02,8.4,-4.072,0.462,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥0.5/TP≥60,68.29,,0.5,0.5,60.0,126,123,84,39,68.29,-3.31,-15.02,8.4,-4.072,0.462,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥0.5/TP≥65,68.75,,0.5,0.5,65.0,115,112,77,35,68.75,-2.85,-15.06,9.36,-3.194,0.423,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥1.0/TP≥-,67.0,,0.5,1.0,,101,100,67,33,67.0,-4.92,-18.09,8.25,-4.918,0.36,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥1.0/TP≥50,67.0,,0.5,1.0,50.0,101,100,67,33,67.0,-4.92,-18.09,8.25,-4.918,0.36,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥1.0/TP≥55,67.0,,0.5,1.0,55.0,101,100,67,33,67.0,-4.92,-18.09,8.25,-4.918,0.36,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥1.0/TP≥60,67.0,,0.5,1.0,60.0,101,100,67,33,67.0,-4.92,-18.09,8.25,-4.918,0.36,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥1.0/TP≥65,67.01,,0.5,1.0,65.0,98,97,65,32,67.01,-5.03,-18.38,8.33,-4.875,0.4,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥-/TP≥-,70.34,,0.45,,,122,118,83,35,70.34,-0.16,-11.93,11.61,-0.187,0.643,28
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥-/TP≥50,70.09,,0.45,,50.0,111,107,75,32,70.09,-0.61,-13.0,11.77,-0.656,0.593,27
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥-/TP≥55,70.09,,0.45,,55.0,111,107,75,32,70.09,-0.61,-13.0,11.77,-0.656,0.593,27
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥-/TP≥60,70.19,,0.45,,60.0,108,104,73,31,70.19,-0.39,-12.95,12.17,-0.403,0.556,27
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥-/TP≥65,68.82,,0.45,,65.0,97,93,64,29,68.82,-2.7,-16.11,10.71,-2.51,0.481,27
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥0.0/TP≥-,70.59,,0.45,0.0,,105,102,72,30,70.59,0.02,-12.59,12.64,0.024,0.577,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥0.0/TP≥50,70.59,,0.45,0.0,50.0,105,102,72,30,70.59,0.02,-12.59,12.64,0.024,0.577,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥0.0/TP≥55,70.59,,0.45,0.0,55.0,105,102,72,30,70.59,0.02,-12.59,12.64,0.024,0.577,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥0.0/TP≥60,70.71,,0.45,0.0,60.0,102,99,70,29,70.71,0.28,-12.52,13.08,0.277,0.538,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥0.0/TP≥65,69.66,,0.45,0.0,65.0,92,89,62,27,69.66,-1.49,-15.1,12.11,-1.329,0.462,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥0.5/TP≥-,68.89,,0.45,0.5,,93,90,62,28,68.89,-2.31,-15.98,11.35,-2.081,0.462,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥0.5/TP≥50,68.89,,0.45,0.5,50.0,93,90,62,28,68.89,-2.31,-15.98,11.35,-2.081,0.462,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥0.5/TP≥55,68.89,,0.45,0.5,55.0,93,90,62,28,68.89,-2.31,-15.98,11.35,-2.081,0.462,26
