family,side,band,fold,cfg,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days,max_win_day,max_loss_day
total_bases,OVER,"[-299,-200]",A: 05-03..06,PROD-strict HR≥75 EDG≥10 CV≤0.50,2,2,2,0,100.0,50.0,50.0,50.0,1.0,1.0,1,2026-05-06/2p/+1.00u,2026-05-06/2p/+1.00u
total_bases,OVER,"[-299,-200]",B: 05-07..10,loose       EDG≥5  CV≤0.70,21,16,8,8,50.0,-28.91,-64.94,7.13,-4.625,0.0,3,2026-05-08/3p/-0.21u,2026-05-09/5p/-3.65u
total_bases,OVER,"[-299,-200]",B: 05-07..10,edge-loose  EDG≥10 CV≤0.70,20,16,8,8,50.0,-28.91,-64.94,7.13,-4.625,0.0,3,2026-05-08/3p/-0.21u,2026-05-09/5p/-3.65u
total_bases,OVER,"[-299,-200]",B: 05-07..10,HR65 loose  HR≥65 EDG≥5  CV≤0.70,20,16,8,8,50.0,-28.91,-64.94,7.13,-4.625,0.0,3,2026-05-08/3p/-0.21u,2026-05-09/5p/-3.65u
total_bases,OVER,"[-299,-200]",C: 05-11..15,loose       EDG≥5  CV≤0.70,12,12,7,5,58.33,-16.7,-58.4,24.99,-2.005,0.25,4,2026-05-13/2p/+0.81u,2026-05-14/4p/-1.19u
total_bases,OVER,"[-299,-200]",C: 05-11..15,edge-loose  EDG≥10 CV≤0.70,7,7,6,1,85.71,21.36,-18.51,61.23,1.495,0.75,4,2026-05-13/2p/+0.81u,2026-05-12/2p/-0.50u
total_bases,OVER,"[-299,-200]",C: 05-11..15,HR65 loose  HR≥65 EDG≥5  CV≤0.70,9,9,6,3,66.67,-5.61,-51.97,40.76,-0.505,0.5,4,2026-05-13/2p/+0.81u,2026-05-12/3p/-1.50u
total_bases,OVER,"[-199,-150]",OVERALL,loose       EDG≥5  CV≤0.70,33,28,15,13,53.57,-15.58,-45.25,14.09,-4.362,0.417,12,2026-05-12/4p/+2.37u,2026-05-10/4p/-4.00u
total_bases,OVER,"[-199,-150]",OVERALL,edge-loose  EDG≥10 CV≤0.70,28,23,13,10,56.52,-11.11,-43.71,21.49,-2.555,0.5,12,2026-05-12/2p/+1.18u,2026-05-03/2p/-2.00u
total_bases,OVER,"[-199,-150]",OVERALL,HR65 loose  HR≥65 EDG≥5  CV≤0.70,31,26,15,11,57.69,-9.09,-39.63,21.46,-2.362,0.5,12,2026-05-12/4p/+2.37u,2026-05-10/3p/-3.00u
